Averaging and calculating the power spectrum...
px[0] = 0.052524; pe[0] = 0.052524
px[1] = 0.095275; pe[1] = 0.095275
px[2] = 0.092027; pe[2] = 0.092027
px[3] = 0.095001; pe[3] = 0.095001
px[4] = 0.116103; pe[4] = 0.116103
px[5] = 0.139997; pe[5] = 0.139997
px[6] = 0.094130; pe[6] = 0.094130
px[7] = 0.121241; pe[7] = 0.121241
px[8] = 0.125817; pe[8] = 0.125817
px[9] = 0.129393; pe[9] = 0.129393
px[10] = 0.118595; pe[10] = 0.118595
px[11] = 0.115537; pe[11] = 0.115537
px[12] = 0.143983; pe[12] = 0.143983
px[13] = 0.190463; pe[13] = 0.190463
px[14] = 0.236802; pe[14] = 0.236802
px[15] = 0.303143; pe[15] = 0.303143
px[16] = 0.324643; pe[16] = 0.324643
px[17] = 0.361420; pe[17] = 0.361420
px[18] = 0.414217; pe[18] = 0.414217
px[19] = 0.652470; pe[19] = 0.652470
px[20] = 0.556746; pe[20] = 0.556746
px[21] = 1.206233; pe[21] = 1.206233
px[22] = 1.714681; pe[22] = 1.714681
px[23] = 1.975237; pe[23] = 1.975237
px[24] = 2.418779; pe[24] = 2.418779
px[25] = 5.897272; pe[25] = 5.897272
px[26] = 6.181377; pe[26] = 6.181377
px[27] = 2.936719; pe[27] = 2.936719
px[28] = 1.532941; pe[28] = 1.532941
px[29] = 1.042553; pe[29] = 1.042553
px[30] = 0.639653; pe[30] = 0.639653
px[31] = 0.425499; pe[31] = 0.425499
px[32] = 0.187107; pe[32] = 0.187107
px[33] = 0.237766; pe[33] = 0.237766
px[34] = 0.222512; pe[34] = 0.222512
px[35] = 0.106090; pe[35] = 0.106090
px[36] = 0.136477; pe[36] = 0.136477
px[37] = 0.086452; pe[37] = 0.086452
px[38] = 0.083346; pe[38] = 0.083346
px[39] = 0.067027; pe[39] = 0.067027
px[40] = 0.049088; pe[40] = 0.049088
px[41] = 0.044148; pe[41] = 0.044148
px[42] = 0.035134; pe[42] = 0.035134
px[43] = 0.035196; pe[43] = 0.035196
px[44] = 0.025743; pe[44] = 0.025743
px[45] = 0.025916; pe[45] = 0.025916
px[46] = 0.025571; pe[46] = 0.025571
px[47] = 0.021859; pe[47] = 0.021859
px[48] = 0.015491; pe[48] = 0.015491
px[49] = 0.012571; pe[49] = 0.012571
px[50] = 0.014124; pe[50] = 0.014124
px[51] = 0.014322; pe[51] = 0.014322
px[52] = 0.012706; pe[52] = 0.012706
px[53] = 0.010237; pe[53] = 0.010237
px[54] = 0.010127; pe[54] = 0.010127
px[55] = 0.006925; pe[55] = 0.006925
px[56] = 0.005693; pe[56] = 0.005693
px[57] = 0.006654; pe[57] = 0.006654
px[58] = 0.004500; pe[58] = 0.004500
px[59] = 0.006305; pe[59] = 0.006305
px[60] = 0.006346; pe[60] = 0.006346
px[61] = 0.005338; pe[61] = 0.005338
px[62] = 0.005121; pe[62] = 0.005121
px[63] = 0.004139; pe[63] = 0.004139
px[64] = 0.006046; pe[64] = 0.006046
px[65] = 0.004812; pe[65] = 0.004812
px[66] = 0.003005; pe[66] = 0.003005
px[67] = 0.003896; pe[67] = 0.003896
px[68] = 0.003692; pe[68] = 0.003692
px[69] = 0.003722; pe[69] = 0.003722
px[70] = 0.003066; pe[70] = 0.003066
px[71] = 0.001885; pe[71] = 0.001885
px[72] = 0.001544; pe[72] = 0.001544
px[73] = 0.001838; pe[73] = 0.001838
px[74] = 0.002058; pe[74] = 0.002058
px[75] = 0.002154; pe[75] = 0.002154
px[76] = 0.002033; pe[76] = 0.002033
px[77] = 0.002409; pe[77] = 0.002409
px[78] = 0.001580; pe[78] = 0.001580
px[79] = 0.001259; pe[79] = 0.001259
px[80] = 0.001688; pe[80] = 0.001688
px[81] = 0.001763; pe[81] = 0.001763
px[82] = 0.001879; pe[82] = 0.001879
px[83] = 0.001256; pe[83] = 0.001256
px[84] = 0.000866; pe[84] = 0.000866
px[85] = 0.001164; pe[85] = 0.001164
px[86] = 0.001351; pe[86] = 0.001351
px[87] = 0.001110; pe[87] = 0.001110
px[88] = 0.001107; pe[88] = 0.001107
px[89] = 0.001156; pe[89] = 0.001156
px[90] = 0.000846; pe[90] = 0.000846
px[91] = 0.001076; pe[91] = 0.001076
px[92] = 0.001266; pe[92] = 0.001266
px[93] = 0.000895; pe[93] = 0.000895
px[94] = 0.000855; pe[94] = 0.000855
px[95] = 0.000773; pe[95] = 0.000773
px[96] = 0.000663; pe[96] = 0.000663
px[97] = 0.000942; pe[97] = 0.000942
px[98] = 0.000576; pe[98] = 0.000576
px[99] = 0.000604; pe[99] = 0.000604
px[100] = 0.000653; pe[100] = 0.000653
px[101] = 0.000584; pe[101] = 0.000584
px[102] = 0.000604; pe[102] = 0.000604
px[103] = 0.000716; pe[103] = 0.000716
px[104] = 0.000667; pe[104] = 0.000667
px[105] = 0.000551; pe[105] = 0.000551
px[106] = 0.000648; pe[106] = 0.000648
px[107] = 0.000661; pe[107] = 0.000661
px[108] = 0.000390; pe[108] = 0.000390
px[109] = 0.000461; pe[109] = 0.000461
px[110] = 0.000577; pe[110] = 0.000577
px[111] = 0.000459; pe[111] = 0.000459
px[112] = 0.000329; pe[112] = 0.000329
px[113] = 0.000394; pe[113] = 0.000394
px[114] = 0.000466; pe[114] = 0.000466
px[115] = 0.000390; pe[115] = 0.000390
px[116] = 0.000510; pe[116] = 0.000510
px[117] = 0.000306; pe[117] = 0.000306
px[118] = 0.000288; pe[118] = 0.000288
px[119] = 0.000310; pe[119] = 0.000310
px[120] = 0.000293; pe[120] = 0.000293
px[121] = 0.000321; pe[121] = 0.000321
px[122] = 0.000387; pe[122] = 0.000387
px[123] = 0.000285; pe[123] = 0.000285
px[124] = 0.000246; pe[124] = 0.000246
px[125] = 0.000298; pe[125] = 0.000298
px[126] = 0.000249; pe[126] = 0.000249
px[127] = 0.000271; pe[127] = 0.000271
px[128] = 0.000309; pe[128] = 0.000309
px[129] = 0.000276; pe[129] = 0.000276
px[130] = 0.000262; pe[130] = 0.000262
px[131] = 0.000204; pe[131] = 0.000204
px[132] = 0.000264; pe[132] = 0.000264
px[133] = 0.000385; pe[133] = 0.000385
px[134] = 0.000329; pe[134] = 0.000329
px[135] = 0.000286; pe[135] = 0.000286
px[136] = 0.000310; pe[136] = 0.000310
px[137] = 0.000258; pe[137] = 0.000258
px[138] = 0.000222; pe[138] = 0.000222
px[139] = 0.000221; pe[139] = 0.000221
px[140] = 0.000255; pe[140] = 0.000255
px[141] = 0.000192; pe[141] = 0.000192
px[142] = 0.000114; pe[142] = 0.000114
px[143] = 0.000149; pe[143] = 0.000149
px[144] = 0.000179; pe[144] = 0.000179
px[145] = 0.000210; pe[145] = 0.000210
px[146] = 0.000144; pe[146] = 0.000144
px[147] = 0.000182; pe[147] = 0.000182
px[148] = 0.000191; pe[148] = 0.000191
px[149] = 0.000212; pe[149] = 0.000212
px[150] = 0.000154; pe[150] = 0.000154
px[151] = 0.000102; pe[151] = 0.000102
px[152] = 0.000118; pe[152] = 0.000118
px[153] = 0.000115; pe[153] = 0.000115
px[154] = 0.000178; pe[154] = 0.000178
px[155] = 0.000123; pe[155] = 0.000123
px[156] = 0.000134; pe[156] = 0.000134
px[157] = 0.000134; pe[157] = 0.000134
px[158] = 0.000124; pe[158] = 0.000124
px[159] = 0.000140; pe[159] = 0.000140
px[160] = 0.000164; pe[160] = 0.000164
px[161] = 0.000111; pe[161] = 0.000111
px[162] = 0.000115; pe[162] = 0.000115
px[163] = 0.000116; pe[163] = 0.000116
px[164] = 0.000127; pe[164] = 0.000127
px[165] = 0.000105; pe[165] = 0.000105
px[166] = 0.000085; pe[166] = 0.000085
px[167] = 0.000104; pe[167] = 0.000104
px[168] = 0.000149; pe[168] = 0.000149
px[169] = 0.000112; pe[169] = 0.000112
px[170] = 0.000100; pe[170] = 0.000100
px[171] = 0.000101; pe[171] = 0.000101
px[172] = 0.000100; pe[172] = 0.000100
px[173] = 0.000115; pe[173] = 0.000115
px[174] = 0.000114; pe[174] = 0.000114
px[175] = 0.000150; pe[175] = 0.000150
px[176] = 0.000126; pe[176] = 0.000126
px[177] = 0.000124; pe[177] = 0.000124
px[178] = 0.000064; pe[178] = 0.000064
px[179] = 0.000097; pe[179] = 0.000097
px[180] = 0.000102; pe[180] = 0.000102
px[181] = 0.000089; pe[181] = 0.000089
px[182] = 0.000109; pe[182] = 0.000109
px[183] = 0.000145; pe[183] = 0.000145
px[184] = 0.000110; pe[184] = 0.000110
px[185] = 0.000111; pe[185] = 0.000111
px[186] = 0.000074; pe[186] = 0.000074
px[187] = 0.000066; pe[187] = 0.000066
px[188] = 0.000064; pe[188] = 0.000064
px[189] = 0.000076; pe[189] = 0.000076
px[190] = 0.000089; pe[190] = 0.000089
px[191] = 0.000098; pe[191] = 0.000098
px[192] = 0.000085; pe[192] = 0.000085
px[193] = 0.000072; pe[193] = 0.000072
px[194] = 0.000060; pe[194] = 0.000060
px[195] = 0.000052; pe[195] = 0.000052
px[196] = 0.000069; pe[196] = 0.000069
px[197] = 0.000124; pe[197] = 0.000124
px[198] = 0.000104; pe[198] = 0.000104
px[199] = 0.000065; pe[199] = 0.000065
px[200] = 0.000080; pe[200] = 0.000080
px[201] = 0.000063; pe[201] = 0.000063
px[202] = 0.000082; pe[202] = 0.000082
px[203] = 0.000070; pe[203] = 0.000070
px[204] = 0.000057; pe[204] = 0.000057
px[205] = 0.000048; pe[205] = 0.000048
px[206] = 0.000073; pe[206] = 0.000073
px[207] = 0.000080; pe[207] = 0.000080
px[208] = 0.000075; pe[208] = 0.000075
px[209] = 0.000067; pe[209] = 0.000067
px[210] = 0.000083; pe[210] = 0.000083
px[211] = 0.000067; pe[211] = 0.000067
px[212] = 0.000096; pe[212] = 0.000096
px[213] = 0.000103; pe[213] = 0.000103
px[214] = 0.000086; pe[214] = 0.000086
px[215] = 0.000093; pe[215] = 0.000093
px[216] = 0.000060; pe[216] = 0.000060
px[217] = 0.000070; pe[217] = 0.000070
px[218] = 0.000099; pe[218] = 0.000099
px[219] = 0.000062; pe[219] = 0.000062
px[220] = 0.000043; pe[220] = 0.000043
px[221] = 0.000050; pe[221] = 0.000050
px[222] = 0.000054; pe[222] = 0.000054
px[223] = 0.000087; pe[223] = 0.000087
px[224] = 0.000116; pe[224] = 0.000116
px[225] = 0.000116; pe[225] = 0.000116
px[226] = 0.000095; pe[226] = 0.000095
px[227] = 0.000116; pe[227] = 0.000116
px[228] = 0.000103; pe[228] = 0.000103
px[229] = 0.000069; pe[229] = 0.000069
px[230] = 0.000078; pe[230] = 0.000078
px[231] = 0.000082; pe[231] = 0.000082
px[232] = 0.000065; pe[232] = 0.000065
px[233] = 0.000053; pe[233] = 0.000053
px[234] = 0.000048; pe[234] = 0.000048
px[235] = 0.000070; pe[235] = 0.000070
px[236] = 0.000113; pe[236] = 0.000113
px[237] = 0.000075; pe[237] = 0.000075
px[238] = 0.000068; pe[238] = 0.000068
px[239] = 0.000068; pe[239] = 0.000068
px[240] = 0.000046; pe[240] = 0.000046
px[241] = 0.000043; pe[241] = 0.000043
px[242] = 0.000054; pe[242] = 0.000054
px[243] = 0.000048; pe[243] = 0.000048
px[244] = 0.000061; pe[244] = 0.000061
px[245] = 0.000066; pe[245] = 0.000066
px[246] = 0.000067; pe[246] = 0.000067
px[247] = 0.000049; pe[247] = 0.000049
px[248] = 0.000070; pe[248] = 0.000070
px[249] = 0.000067; pe[249] = 0.000067
px[250] = 0.000070; pe[250] = 0.000070
px[251] = 0.000071; pe[251] = 0.000071
px[252] = 0.000059; pe[252] = 0.000059
px[253] = 0.000072; pe[253] = 0.000072
px[254] = 0.000049; pe[254] = 0.000049
px[255] = 0.000057; pe[255] = 0.000057
px[256] = 0.000125; pe[256] = 0.000125

px[0] = 0.102729; pe[0] = 0.050204
px[1] = 0.169534; pe[1] = 0.074259
px[2] = 0.162426; pe[2] = 0.070399
px[3] = 0.164029; pe[3] = 0.069028
px[4] = 0.235996; pe[4] = 0.119894
px[5] = 0.239196; pe[5] = 0.099198
px[6] = 0.201340; pe[6] = 0.107210
px[7] = 0.243244; pe[7] = 0.122004
px[8] = 0.260536; pe[8] = 0.134718
px[9] = 0.260269; pe[9] = 0.130876
px[10] = 0.308139; pe[10] = 0.189544
px[11] = 0.379819; pe[11] = 0.264282
px[12] = 0.329597; pe[12] = 0.185615
px[13] = 0.393075; pe[13] = 0.202612
px[14] = 0.415601; pe[14] = 0.178799
px[15] = 0.501484; pe[15] = 0.198341
px[16] = 0.661733; pe[16] = 0.337091
px[17] = 0.743072; pe[17] = 0.381652
px[18] = 0.921213; pe[18] = 0.506995
px[19] = 1.222775; pe[19] = 0.570305
px[20] = 1.154663; pe[20] = 0.597918
px[21] = 1.856046; pe[21] = 0.649813
px[22] = 3.298609; pe[22] = 1.583928
px[23] = 4.511355; pe[23] = 2.536118
px[24] = 6.438380; pe[24] = 4.019601
px[25] = 11.299458; pe[25] = 5.402185
px[26] = 11.793404; pe[26] = 5.612027
px[27] = 5.679481; pe[27] = 2.742762
px[28] = 3.127553; pe[28] = 1.594612
px[29] = 2.055569; pe[29] = 1.013016
px[30] = 1.147932; pe[30] = 0.508279
px[31] = 1.069185; pe[31] = 0.643686
px[32] = 0.683157; pe[32] = 0.496050
px[33] = 0.557050; pe[33] = 0.319284
px[34] = 0.402565; pe[34] = 0.180053
px[35] = 0.232895; pe[35] = 0.126805
px[36] = 0.286373; pe[36] = 0.149895
px[37] = 0.197247; pe[37] = 0.110795
px[38] = 0.157524; pe[38] = 0.074177
px[39] = 0.152492; pe[39] = 0.085465
px[40] = 0.114027; pe[40] = 0.064939
px[41] = 0.079840; pe[41] = 0.035692
px[42] = 0.067819; pe[42] = 0.032685
px[43] = 0.068268; pe[43] = 0.033071
px[44] = 0.047461; pe[44] = 0.021717
px[45] = 0.050437; pe[45] = 0.024522
px[46] = 0.047598; pe[46] = 0.022027
px[47] = 0.041706; pe[47] = 0.019847
px[48] = 0.031011; pe[48] = 0.015520
px[49] = 0.031593; pe[49] = 0.019022
px[50] = 0.035274; pe[50] = 0.021150
px[51] = 0.026632; pe[51] = 0.012310
px[52] = 0.025108; pe[52] = 0.012402
px[53] = 0.025084; pe[53] = 0.014847
px[54] = 0.023689; pe[54] = 0.013563
px[55] = 0.014752; pe[55] = 0.007826
px[56] = 0.013999; pe[56] = 0.008307
px[57] = 0.014723; pe[57] = 0.008070
px[58] = 0.009956; pe[58] = 0.005456
px[59] = 0.011379; pe[59] = 0.005074
px[60] = 0.011309; pe[60] = 0.004963
px[61] = 0.010557; pe[61] = 0.005219
px[62] = 0.010652; pe[62] = 0.005530
px[63] = 0.007894; pe[63] = 0.003755
px[64] = 0.009857; pe[64] = 0.003810
px[65] = 0.008553; pe[65] = 0.003741
px[66] = 0.005815; pe[66] = 0.002810
px[67] = 0.005947; pe[67] = 0.002052
px[68] = 0.006289; pe[68] = 0.002596
px[69] = 0.006091; pe[69] = 0.002370
px[70] = 0.004892; pe[70] = 0.001826
px[71] = 0.004012; pe[71] = 0.002127
px[72] = 0.004227; pe[72] = 0.002683
px[73] = 0.005445; pe[73] = 0.003607
px[74] = 0.005060; pe[74] = 0.003002
px[75] = 0.004404; pe[75] = 0.002250
px[76] = 0.004343; pe[76] = 0.002311
px[77] = 0.005090; pe[77] = 0.002681
px[78] = 0.004855; pe[78] = 0.003275
px[79] = 0.003223; pe[79] = 0.001964
px[80] = 0.003513; pe[80] = 0.001825
px[81] = 0.003309; pe[81] = 0.001545
px[82] = 0.003546; pe[82] = 0.001667
px[83] = 0.002965; pe[83] = 0.001709
px[84] = 0.002059; pe[84] = 0.001193
px[85] = 0.002462; pe[85] = 0.001298
px[86] = 0.003329; pe[86] = 0.001978
px[87] = 0.002401; pe[87] = 0.001291
px[88] = 0.002315; pe[88] = 0.001208
px[89] = 0.002276; pe[89] = 0.001119
px[90] = 0.001778; pe[90] = 0.000932
px[91] = 0.002149; pe[91] = 0.001073
px[92] = 0.002126; pe[92] = 0.000859
px[93] = 0.001750; pe[93] = 0.000856
px[94] = 0.001661; pe[94] = 0.000807
px[95] = 0.001412; pe[95] = 0.000639
px[96] = 0.001228; pe[96] = 0.000565
px[97] = 0.001641; pe[97] = 0.000699
px[98] = 0.001292; pe[98] = 0.000716
px[99] = 0.001139; pe[99] = 0.000535
px[100] = 0.001220; pe[100] = 0.000567
px[101] = 0.001084; pe[101] = 0.000500
px[102] = 0.001144; pe[102] = 0.000540
px[103] = 0.001120; pe[103] = 0.000404
px[104] = 0.001123; pe[104] = 0.000456
px[105] = 0.001046; pe[105] = 0.000495
px[106] = 0.001241; pe[106] = 0.000592
px[107] = 0.001326; pe[107] = 0.000665
px[108] = 0.000920; pe[108] = 0.000530
px[109] = 0.000937; pe[109] = 0.000476
px[110] = 0.001076; pe[110] = 0.000498
px[111] = 0.001053; pe[111] = 0.000594
px[112] = 0.000877; pe[112] = 0.000548
px[113] = 0.000784; pe[113] = 0.000389
px[114] = 0.000849; pe[114] = 0.000383
px[115] = 0.000814; pe[115] = 0.000424
px[116] = 0.000925; pe[116] = 0.000416
px[117] = 0.000603; pe[117] = 0.000296
px[118] = 0.000494; pe[118] = 0.000206
px[119] = 0.000645; pe[119] = 0.000335
px[120] = 0.000560; pe[120] = 0.000267
px[121] = 0.000718; pe[121] = 0.000397
px[122] = 0.000750; pe[122] = 0.000363
px[123] = 0.000782; pe[123] = 0.000498
px[124] = 0.000557; pe[124] = 0.000311
px[125] = 0.000607; pe[125] = 0.000309
px[126] = 0.000497; pe[126] = 0.000248
px[127] = 0.000479; pe[127] = 0.000208
px[128] = 0.000517; pe[128] = 0.000208
px[129] = 0.000519; pe[129] = 0.000243
px[130] = 0.000543; pe[130] = 0.000281
px[131] = 0.000424; pe[131] = 0.000220
px[132] = 0.000521; pe[132] = 0.000257
px[133] = 0.000582; pe[133] = 0.000197
px[134] = 0.000462; pe[134] = 0.000133
px[135] = 0.000516; pe[135] = 0.000230
px[136] = 0.000576; pe[136] = 0.000266
px[137] = 0.000469; pe[137] = 0.000211
px[138] = 0.000406; pe[138] = 0.000184
px[139] = 0.000421; pe[139] = 0.000199
px[140] = 0.000435; pe[140] = 0.000181
px[141] = 0.000335; pe[141] = 0.000144
px[142] = 0.000290; pe[142] = 0.000176
px[143] = 0.000412; pe[143] = 0.000264
px[144] = 0.000388; pe[144] = 0.000209
px[145] = 0.000364; pe[145] = 0.000154
px[146] = 0.000322; pe[146] = 0.000179
px[147] = 0.000304; pe[147] = 0.000122
px[148] = 0.000288; pe[148] = 0.000096
px[149] = 0.000335; pe[149] = 0.000124
px[150] = 0.000287; pe[150] = 0.000133
px[151] = 0.000248; pe[151] = 0.000146
px[152] = 0.000282; pe[152] = 0.000164
px[153] = 0.000294; pe[153] = 0.000179
px[154] = 0.000282; pe[154] = 0.000104
px[155] = 0.000249; pe[155] = 0.000126
px[156] = 0.000318; pe[156] = 0.000184
px[157] = 0.000311; pe[157] = 0.000177
px[158] = 0.000281; pe[158] = 0.000158
px[159] = 0.000311; pe[159] = 0.000170
px[160] = 0.000328; pe[160] = 0.000163
px[161] = 0.000280; pe[161] = 0.000169
px[162] = 0.000271; pe[162] = 0.000156
px[163] = 0.000274; pe[163] = 0.000159
px[164] = 0.000265; pe[164] = 0.000138
px[165] = 0.000208; pe[165] = 0.000103
px[166] = 0.000181; pe[166] = 0.000095
px[167] = 0.000187; pe[167] = 0.000083
px[168] = 0.000250; pe[168] = 0.000101
px[169] = 0.000257; pe[169] = 0.000145
px[170] = 0.000212; pe[170] = 0.000112
px[171] = 0.000232; pe[171] = 0.000132
px[172] = 0.000215; pe[172] = 0.000115
px[173] = 0.000214; pe[173] = 0.000100
px[174] = 0.000220; pe[174] = 0.000106
px[175] = 0.000291; pe[175] = 0.000141
px[176] = 0.000231; pe[176] = 0.000105
px[177] = 0.000201; pe[177] = 0.000078
px[178] = 0.000192; pe[178] = 0.000128
